study,year,location,state,elevation,region,fungicide2,inc_check,scl_check,design_scl,mean_scl,mean_scl_qmr,mean_scl_sd
1,2008/2009,Montividiu,GO,921,Northern,AACHECK-0,76,2194,4,2194,262333.99,516.3426824
1,2008/2009,Montividiu,GO,921,Northern,DIMO+BOSC-2,76,2194,4,921,262333.99,344.8573074
1,2008/2009,Montividiu,GO,921,Northern,FLUO-2,76,2194,4,643,262333.99,191.3697882
1,2008/2009,Montividiu,GO,921,Northern,FLUZ-2,76,2194,4,643,262333.99,478.9109825
1,2008/2009,Montividiu,GO,921,Northern,PROCY-2,76,2194,4,516,262333.99,243.1177698
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,AACHECK-0,53,1331,4,1331,103269.3,296.7708151
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,DIMO+BOSC-2,53,1331,4,131,103269.3,132.8768227
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,FLUO-2,53,1331,4,275,103269.3,202.0725942
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,FLUZ-2,53,1331,4,206,103269.3,280.9025632
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,PROCY-2,53,1331,4,119,103269.3,112.5
3,2008/2009,Silvânia,GO,1050,Northern,AACHECK-0,65,5013,4,5013,2801838.65,2463.102718
3,2008/2009,Silvânia,GO,1050,Northern,DIMO+BOSC-2,65,5013,4,644,2801838.65,421.4928825
3,2008/2009,Silvânia,GO,1050,Northern,FLUO-2,65,5013,4,419,2801838.65,374.3744783
3,2008/2009,Silvânia,GO,1050,Northern,FLUZ-2,65,5013,4,2894,2801838.65,981.9994484
3,2008/2009,Silvânia,GO,1050,Northern,PROCY-2,65,5013,4,1763,2801838.65,1030.068768
4,2008/2009,Mauá da Serra,PR,1029,Southern,AACHECK-0,69,6216,4,6216,1659291.06,1829.72129
4,2008/2009,Mauá da Serra,PR,1029,Southern,DIMO+BOSC-2,69,6216,4,1592,1659291.06,1105.676264
4,2008/2009,Mauá da Serra,PR,1029,Southern,FLUO-2,69,6216,4,1080,1659291.06,700.8566187
4,2008/2009,Mauá da Serra,PR,1029,Southern,FLUZ-2,69,6216,4,1456,1659291.06,1962.926387
4,2008/2009,Mauá da Serra,PR,1029,Southern,PROCY-2,69,6216,4,1744,1659291.06,258.2247083
5,2008/2009,Nova Ponte,MG,999,Northern,AACHECK-0,21,8500,4,8500,1378385.61,625
5,2008/2009,Nova Ponte,MG,999,Northern,DIMO+BOSC-2,21,8500,4,3117,1378385.61,902.1675288
5,2008/2009,Nova Ponte,MG,999,Northern,FLUO-2,21,8500,4,2833,1378385.61,314.5764348
5,2008/2009,Nova Ponte,MG,999,Northern,FLUZ-2,21,8500,4,3000,1378385.61,777.2815878
5,2008/2009,Nova Ponte,MG,999,Northern,PROCY-2,21,8500,4,3000,1378385.61,144.3375673
6,2009/2010,Montividiu,GO,921,Northern,AACHECK-0,90.3,2225,5,2225,137554.55,929.7387066
6,2009/2010,Montividiu,GO,921,Northern,DIMO+BOSC-2,90.3,2225,5,341,137554.55,103.3299731
6,2009/2010,Montividiu,GO,921,Northern,FLUO-2,90.3,2225,5,541,137554.55,21.65063509
6,2009/2010,Montividiu,GO,921,Northern,FLUZ-2,90.3,2225,5,601,137554.55,241.1722673
6,2009/2010,Montividiu,GO,921,Northern,PROCY-2,90.3,2225,5,842,137554.55,383.1747861
6,2009/2010,Montividiu,GO,921,Northern,TIOF-4,90.3,2225,5,822,137554.55,212.2547604
7,2009/2010,São Miguel do Passa Quatro,GO,1027,Northern,AACHECK-0,39.4,5653,5,5653,260992.05,385.208277
7,2009/2010,São Miguel do Passa Quatro,GO,1027,Northern,DIMO+BOSC-2,39.4,5653,5,702,260992.05,138.5847364
7,2009/2010,São Miguel do Passa Quatro,GO,1027,Northern,FLUO-2,39.4,5653,5,401,260992.05,149.4346987
7,2009/2010,São Miguel do Passa Quatro,GO,1027,Northern,FLUZ-2,39.4,5653,5,1002,260992.05,279.322096
7,2009/2010,São Miguel do Passa Quatro,GO,1027,Northern,PROCY-2,39.4,5653,5,1664,260992.05,705.2167959
7,2009/2010,São Miguel do Passa Quatro,GO,1027,Northern,TIOF-4,39.4,5653,5,2405,260992.05,194.2868905
8,2009/2010,Água Fria,GO,891,Northern,AACHECK-0,37.7,5092,5,5092,2612744.73,1919.119807
8,2009/2010,Água Fria,GO,891,Northern,DIMO+BOSC-2,37.7,5092,5,20,2612744.73,18.75
8,2009/2010,Água Fria,GO,891,Northern,FLUO-2,37.7,5092,5,1203,2612744.73,693.9001339
8,2009/2010,Água Fria,GO,891,Northern,FLUZ-2,37.7,5092,5,1123,2612744.73,739.3955161
8,2009/2010,Água Fria,GO,891,Northern,PROCY-2,37.7,5092,5,180,2612744.73,131.497782
8,2009/2010,Água Fria,GO,891,Northern,TIOF-4,37.7,5092,5,6154,2612744.73,678.1177995
9,2009/2010,Campo Verde,MT,985,Northern,AACHECK-0,43.7,461,7,461,63563.29,256.6336051
9,2009/2010,Campo Verde,MT,985,Northern,FLUO-2,43.7,461,7,80,63563.29,78.09832878
9,2009/2010,Campo Verde,MT,985,Northern,FLUZ-2,43.7,461,7,180,63563.29,214.0129961
9,2009/2010,Campo Verde,MT,985,Northern,PROCY-2,43.7,461,7,160,63563.29,98.55994369
9,2009/2010,Campo Verde,MT,985,Northern,TIOF-4,43.7,461,7,481,63563.29,529.8171855
10,2009/2010,Nova Ponte,MG,1005,Northern,AACHECK-0,16.5,1804,5,1804,387988.87,684.6531969
10,2009/2010,Nova Ponte,MG,1005,Northern,DIMO+BOSC-2,16.5,1804,5,301,387988.87,151.8977178
10,2009/2010,Nova Ponte,MG,1005,Northern,FLUO-2,16.5,1804,5,261,387988.87,143.9762712
10,2009/2010,Nova Ponte,MG,1005,Northern,FLUZ-2,16.5,1804,5,2245,387988.87,1017.426287
10,2009/2010,Nova Ponte,MG,1005,Northern,PROCY-2,16.5,1804,5,1704,387988.87,563.6562191
10,2009/2010,Nova Ponte,MG,1005,Northern,TIOF-4,16.5,1804,5,2646,387988.87,954.0210952
11,2009/2010,Uberlândia,MG,947,Northern,AACHECK-0,32,4370,5,4370,2910397.73,1159.202312
11,2009/2010,Uberlândia,MG,947,Northern,DIMO+BOSC-2,32,4370,5,2606,2910397.73,868.1877677
11,2009/2010,Uberlândia,MG,947,Northern,FLUO-2,32,4370,5,1163,2910397.73,831.257832
11,2009/2010,Uberlândia,MG,947,Northern,FLUZ-2,32,4370,5,3247,2910397.73,1516.626602
11,2009/2010,Uberlândia,MG,947,Northern,PROCY-2,32,4370,5,5533,2910397.73,3953.21599
11,2009/2010,Uberlândia,MG,947,Northern,TIOF-4,32,4370,5,1764,2910397.73,147.7258158
13,2009/2010,Mauá da Serra,PR,909,Southern,AACHECK-0,40.6,2606,5,2606,48419.07,433.7990786
13,2009/2010,Mauá da Serra,PR,909,Southern,DIMO+BOSC-2,40.6,2606,5,241,48419.07,130.4858709
13,2009/2010,Mauá da Serra,PR,909,Southern,FLUO-2,40.6,2606,5,501,48419.07,182.5085614
13,2009/2010,Mauá da Serra,PR,909,Southern,FLUZ-2,40.6,2606,5,621,48419.07,192.5838562
13,2009/2010,Mauá da Serra,PR,909,Southern,PROCY-2,40.6,2606,5,702,48419.07,259.467353
13,2009/2010,Mauá da Serra,PR,909,Southern,TIOF-4,40.6,2606,5,1503,48419.07,196.177999
14,2010/2011,Montividiu,GO,921,Northern,AACHECK-0,43.1,2926,5,2926,37399.93,2926
14,2010/2011,Montividiu,GO,921,Northern,DIMO+BOSC-2,43.1,2926,5,188,37399.93,104.8093507
14,2010/2011,Montividiu,GO,921,Northern,FLUO-2,43.1,2926,5,254,37399.93,122.6417547
14,2010/2011,Montividiu,GO,921,Northern,FLUZ-2,43.1,2926,5,182,37399.93,90.06664199
14,2010/2011,Montividiu,GO,921,Northern,PROCY-2,43.1,2926,5,430,37399.93,65.43189844
14,2010/2011,Montividiu,GO,921,Northern,TIOF-4,43.1,2926,5,812,37399.93,351
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,AACHECK-0,31.28,1736,5,1736,151661.21,613.7045978
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,DIMO+BOSC-2,31.28,1736,5,156,151661.21,124.7664485
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,FLUO-2,31.28,1736,5,160,151661.21,117.7568116
