"study" "year" "location" "state" "elevation" "region" "inc_check" "design_scl" "fungicide2" "mean_scl" "mean_scl_qmr" "mean_scl_sd"
"1" 1 "2008/2009" "Montividiu" "GO" 921 "Northern" 76 4 "AACHECK-0" 2194 262333.99 516.3426824
"2" 1 "2008/2009" "Montividiu" "GO" 921 "Northern" 76 4 "DIMO+BOSC-2" 921 262333.99 344.8573074
"3" 1 "2008/2009" "Montividiu" "GO" 921 "Northern" 76 4 "FLUO-2" 643 262333.99 191.3697882
"4" 1 "2008/2009" "Montividiu" "GO" 921 "Northern" 76 4 "FLUZ-2" 521.5 262333.99 294.6076836
"5" 1 "2008/2009" "Montividiu" "GO" 921 "Northern" 76 4 "PROCY-2" 516 262333.99 243.1177698
"6" 2 "2008/2009" "São Miguel do Passa Quatro" "GO" 1031 "Northern" 53 4 "AACHECK-0" 1331 103269.3 296.7708151
"7" 2 "2008/2009" "São Miguel do Passa Quatro" "GO" 1031 "Northern" 53 4 "DIMO+BOSC-2" 131 103269.3 132.8768227
"8" 2 "2008/2009" "São Miguel do Passa Quatro" "GO" 1031 "Northern" 53 4 "FLUO-2" 275 103269.3 202.0725942
"9" 2 "2008/2009" "São Miguel do Passa Quatro" "GO" 1031 "Northern" 53 4 "FLUZ-2" 300 103269.3 200.29047585
"10" 2 "2008/2009" "São Miguel do Passa Quatro" "GO" 1031 "Northern" 53 4 "PROCY-2" 119 103269.3 112.5
"11" 3 "2008/2009" "Silvânia" "GO" 1050 "Northern" 65 4 "AACHECK-0" 5013 2801838.65 2463.102718
"12" 3 "2008/2009" "Silvânia" "GO" 1050 "Northern" 65 4 "DIMO+BOSC-2" 644 2801838.65 421.4928825
"13" 3 "2008/2009" "Silvânia" "GO" 1050 "Northern" 65 4 "FLUO-2" 419 2801838.65 374.3744783
"14" 3 "2008/2009" "Silvânia" "GO" 1050 "Northern" 65 4 "FLUZ-2" 1622 2801838.65 598.52879005
"15" 3 "2008/2009" "Silvânia" "GO" 1050 "Northern" 65 4 "PROCY-2" 1763 2801838.65 1030.068768
