study,year,location,state,elevation,region,inc_check,inc,scl_check,scl,yld_check,design_yld,fungicide2,mean_yld,mean_yld_qmr,mean_yld_sd
1,2008/2009,Montividiu,GO,921,Northern,76,26,2194,643,2265,3,FLUZ-2,2965,34780.024,285.09
1,2008/2009,Montividiu,GO,921,Northern,76,27,2194,643,2265,3,FLUO-2,3044,34780.024,189.12
1,2008/2009,Montividiu,GO,921,Northern,76,28,2194,921,2265,3,DIMO+BOSC-2,2925,34780.024,203.47
1,2008/2009,Montividiu,GO,921,Northern,76,40,2194,516,2265,3,PROCY-2,2967,34780.024,226.41
1,2008/2009,Montividiu,GO,921,Northern,76,76,2194,2194,2265,3,AACHECK-0,2265,34780.024,85.57
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,53,7,1331,131,2257,3,DIMO+BOSC-2,2666,37608.393,63.87
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,53,8,1331,206,2257,3,FLUZ-2,2694,37608.393,169.26
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,53,15,1331,275,2257,3,FLUO-2,2674,37608.393,15.67
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,53,16,1331,119,2257,3,PROCY-2,2614,37608.393,347.41
2,2008/2009,São Miguel do Passa Quatro,GO,1031,Northern,53,53,1331,1331,2257,3,AACHECK-0,2257,37608.393,62.99
3,2008/2009,Silvânia,GO,1050,Northern,65,23,5013,419,2839,3,FLUO-2,3652,32613.335,150.94
3,2008/2009,Silvânia,GO,1050,Northern,65,25,5013,1763,2839,3,PROCY-2,3517,32613.335,168.54
3,2008/2009,Silvânia,GO,1050,Northern,65,25,5013,644,2839,3,DIMO+BOSC-2,3608,32613.335,87.83
3,2008/2009,Silvânia,GO,1050,Northern,65,26,5013,2894,2839,3,FLUZ-2,3595,32613.335,216.09
3,2008/2009,Silvânia,GO,1050,Northern,65,65,5013,5013,2839,3,AACHECK-0,2839,32613.335,170.46
4,2008/2009,Mauá da Serra,PR,1029,Southern,69,26,6216,1456,1893,3,FLUZ-2,2769,98805.484,258.18
4,2008/2009,Mauá da Serra,PR,1029,Southern,69,30,6216,1080,1893,3,FLUO-2,2298,98805.484,207.55
4,2008/2009,Mauá da Serra,PR,1029,Southern,69,34,6216,1592,1893,3,DIMO+BOSC-2,2976,98805.484,440.2
4,2008/2009,Mauá da Serra,PR,1029,Southern,69,43,6216,1744,1893,3,PROCY-2,2367,98805.484,268.63
4,2008/2009,Mauá da Serra,PR,1029,Southern,69,69,6216,6216,1893,3,AACHECK-0,1893,98805.484,218.32
5,2008/2009,Nova Ponte,MG,999,Northern,21,5,8500,2833,2476,3,FLUO-2,2631,75093.202,251.81
5,2008/2009,Nova Ponte,MG,999,Northern,21,7,8500,3000,2476,3,FLUZ-2,2585,75093.202,292.55
5,2008/2009,Nova Ponte,MG,999,Northern,21,8,8500,3117,2476,3,DIMO+BOSC-2,2301,75093.202,266.03
5,2008/2009,Nova Ponte,MG,999,Northern,21,9,8500,3000,2476,3,PROCY-2,2576,75093.202,313.06
5,2008/2009,Nova Ponte,MG,999,Northern,21,21,8500,8500,2476,3,AACHECK-0,2476,75093.202,432.58
